"","5007_S76","5036_S77","5073_S78","5085_S79","5104_S80","5113_S81","5114_S82","5148_S83","5150_S84","5160_S85","5172_S86","5179_S87","5197_S88","5221_S89","5224_S90","5238_S91","5243_S92","5252_S93","5253_S94","5334_S95","5348_S96","5357_S97","5366_S98","5377_S99","5379_S100","5381_S101","5383_S102","5425_S103","5426_S104","5431_S105","CN_MCC21-111_S106"
"ASV111",0,233,0,0,354,0,0,86,43,0,0,71,161,0,0,597,0,0,0,0,450,456,52,0,42,85,151,122,57,165,0
"ASV112",103,64,334,90,80,49,46,129,78,150,62,107,119,75,77,318,76,164,45,60,77,86,92,241,60,59,73,57,80,69,0
"ASV113",24,0,16,6,48,240,44,28,50,53,34,177,240,0,69,0,0,0,549,24,66,682,0,155,212,299,0,0,46,15,0
"ASV114",37,96,216,78,0,73,28,94,0,119,0,127,185,57,0,45,102,160,109,115,357,356,107,51,77,122,105,100,142,0,0
"ASV115",34,34,0,0,0,0,87,0,50,0,59,108,29,36,456,36,14,111,869,60,0,38,0,0,209,46,706,26,21,10,0
"ASV116",128,170,167,105,72,108,0,28,40,28,170,99,237,37,200,0,16,30,58,93,181,40,269,92,28,197,70,9,295,57,0
"ASV117",138,60,170,95,62,107,94,65,217,59,93,156,223,319,126,65,55,0,0,99,126,0,114,83,31,78,36,162,61,125,0
"ASV118",109,150,99,218,45,54,0,35,29,165,120,66,71,65,33,262,300,122,121,0,106,166,73,129,42,0,115,17,131,99,0
"ASV119",188,30,174,146,14,32,0,0,74,0,183,171,115,187,168,0,0,0,0,169,486,63,47,65,187,249,0,0,26,150,0
"ASV120",54,202,22,136,12,261,0,118,0,68,12,187,253,0,10,147,0,83,74,0,403,113,0,0,0,110,236,223,76,96,0
"ASV121",48,189,27,0,0,56,151,21,0,150,53,133,219,53,377,110,0,50,160,71,63,49,0,225,158,68,188,0,226,10,0
"ASV122",592,0,356,0,0,178,0,0,0,7,0,162,298,0,0,0,0,385,0,0,415,0,226,0,0,0,83,143,0,0,0
"ASV123",24,17,11,41,56,103,76,18,22,267,47,100,159,89,341,156,0,33,581,41,40,116,0,32,145,56,215,0,44,0,0
"ASV124",66,62,18,146,161,116,0,0,20,0,0,37,26,40,0,0,0,0,120,649,440,198,48,65,127,249,0,0,148,50,0
"ASV125",211,64,77,0,106,0,127,61,90,25,54,33,0,132,131,0,0,0,123,154,127,335,0,568,44,68,103,56,66,0,0
"ASV126",16,225,58,408,0,57,0,0,0,0,103,60,62,0,0,52,176,78,0,56,0,0,554,0,0,51,345,0,201,244,0
"ASV127",66,110,33,81,84,49,0,0,42,0,21,62,79,195,37,106,65,87,75,195,146,312,125,120,80,52,46,0,394,79,0
"ASV128",86,72,13,93,14,85,143,55,145,46,120,49,0,77,148,0,31,145,83,75,66,21,113,223,137,164,17,92,115,279,0
"ASV129",114,210,104,97,116,94,0,0,0,50,0,87,114,53,0,63,257,80,234,0,98,373,0,0,92,61,282,0,65,38,0
"ASV130",74,47,70,144,46,65,26,35,0,0,37,54,66,88,46,0,0,95,124,351,385,157,37,128,68,131,173,0,128,88,0
"ASV131",13,43,0,244,147,37,0,0,19,48,21,27,44,142,164,0,0,0,86,239,71,677,0,482,75,37,0,20,0,0,0
"ASV132",37,220,44,48,179,0,18,68,0,91,39,59,119,13,71,285,0,0,186,120,94,107,42,106,34,24,120,331,25,54,0
"ASV133",107,94,122,108,78,73,43,0,50,29,29,48,40,88,65,38,0,104,202,132,300,206,47,191,113,121,0,0,43,41,0
"ASV134",37,0,388,0,0,0,0,0,0,0,0,323,13,16,0,0,0,0,0,6,87,11,845,0,289,63,149,218,0,29,0
"ASV135",186,17,17,17,40,27,28,84,90,12,18,154,332,175,43,100,0,29,0,63,71,672,96,0,16,74,0,70,21,0,0
"ASV136",0,42,21,31,38,20,57,5,290,0,12,33,0,46,22,37,773,0,0,81,0,227,493,0,84,43,0,0,95,0,0
"ASV137",72,94,171,82,152,246,96,62,0,0,21,61,73,54,0,67,42,71,0,0,159,299,69,0,117,85,0,0,238,107,0
"ASV138",59,65,205,77,55,29,0,134,0,98,29,130,288,49,34,69,58,124,38,47,140,104,70,153,87,0,162,26,57,41,0
"ASV139",212,25,195,71,24,47,57,47,90,40,81,71,56,200,211,0,25,44,19,65,85,68,74,85,29,92,16,86,26,190,0
"ASV140",293,87,80,122,57,147,0,19,65,0,60,70,77,63,20,5,0,0,77,40,190,279,72,69,45,163,19,79,0,114,0
"ASV141",97,128,104,82,64,48,39,32,60,0,37,57,76,75,53,14,0,58,166,96,328,263,59,109,72,64,0,18,68,36,0
"ASV142",65,55,145,106,72,152,60,45,126,18,33,72,81,31,80,51,0,38,26,61,129,240,27,243,53,60,7,41,48,111,0
"ASV143",178,270,76,0,20,78,0,42,0,0,31,0,12,57,0,14,0,17,47,0,108,133,68,381,419,59,29,66,166,0,0
"ASV144",13,87,243,29,78,77,0,57,60,64,36,16,16,136,59,126,103,97,0,45,46,356,33,149,61,32,72,86,0,76,0
