"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV197","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_NK3B31_group",NA
"ASV198","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA
"ASV199","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV200","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014",NA
"ASV201","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_NK4A214_group",NA
"ASV202","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae",NA,NA
"ASV203","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Anaerovibrio",NA
"ASV204","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_NK4A136_group",NA
"ASV205","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae",NA,NA
"ASV206","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium",NA
"ASV207","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_NK3B31_group",NA
"ASV208","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","delbrueckii"
"ASV209","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter",NA
"ASV210","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_ND3007_group",NA
"ASV211","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA
"ASV212","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA
"ASV213","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV214","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV215","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"ASV216","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-004",NA
"ASV217","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014",NA
"ASV218","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_NK4A214_group",NA
"ASV219","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_6",NA
"ASV220","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV221","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus_1",NA
"ASV222","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV223","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group",NA
"ASV224","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Phascolarctobacterium",NA
"ASV225","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA
"ASV226","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Agathobacter",NA
"ASV227","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides",NA
"ASV228","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales",NA,NA,NA
"ASV229","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_1","butyricum"
"ASV230","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia",NA
"ASV231","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Megasphaera",NA
"ASV232","Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter",NA
"ASV233","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-002",NA
"ASV234","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
"ASV235","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_UCG-003",NA
"ASV236","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Candidatus_Soleaferrea",NA
"ASV237","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema_2",NA
"ASV238","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_NK4A214_group",NA
"ASV239","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV240","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospira",NA
"ASV241","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","p-1088-a5_gut_group",NA
"ASV242","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA
"ASV243","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia",NA
